symbol,strategy,initial_capital,final_capital,total_pnl,total_return_pct,total_trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio,max_win_streak,max_loss_streak,best_trade_pnl,worst_trade_pnl
RELIANCE,macd_crossover,100000,104419.45,4419.46,4.42,4,2,2,50.0,5512.88,-3303.15,1.669,-6.94,-0.3421,2,1,5821.17,-5917.46
RELIANCE,vwap_reversion,100000,96086.62,-3913.38,-3.91,1,0,1,0.0,0.0,-3913.38,0.0,-5.36,-2.1476,0,1,-3913.38,-3913.38
TCS,macd_crossover,100000,67427.96,-29542.82,-32.57,17,3,14,17.65,1275.79,-2383.58,0.1147,-33.61,-2.2015,1,6,3443.74,-4208.52
TCS,vwap_reversion,100000,92220.59,-7779.41,-7.78,1,0,1,0.0,0.0,-7779.41,0.0,-10.21,-1.8721,0,1,-7779.41,-7779.41
INFY,macd_crossover,100000,84716.36,-15283.64,-15.28,7,3,4,42.86,3239.92,-6250.85,0.3887,-29.15,-1.1913,2,4,6643.6,-8642.47
INFY,vwap_reversion,100000,93069.46,-6930.54,-6.93,1,0,1,0.0,0.0,-6930.54,0.0,-6.93,-3.2832,0,1,-6930.54,-6930.54
