,RELIANCE_rsi_dma_crossover,RELIANCE_macd_crossover,RELIANCE_vwap_reversion,TCS_rsi_dma_crossover,TCS_macd_crossover,TCS_vwap_reversion,INFY_rsi_dma_crossover,INFY_macd_crossover,INFY_vwap_reversion
2024-12-19,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-12-20,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-12-23,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-12-24,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-12-25,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-12-26,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-12-27,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-12-30,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-12-31,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2025-01-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2025-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2025-01-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2025-01-06,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2025-01-07,100000.0,100000.0,100000.0,100000.0,100355.92,100000.0,100000.0,100000.0,100000.0
2025-01-08,100000.0,100000.0,100000.0,100000.0,101632.78,100000.0,100000.0,100000.0,100000.0
2025-01-09,100000.0,100000.0,100000.0,100000.0,101496.02,100000.0,100000.0,100000.0,100000.0
2025-01-10,100000.0,100000.0,100000.0,100000.0,102718.28,100000.0,100000.0,100000.0,100000.0
2025-01-13,100000.0,100000.0,100000.0,100000.0,102163.18,100000.0,100000.0,100000.0,100000.0
2025-01-14,100000.0,100000.0,100000.0,100000.0,102015.76,100000.0,100000.0,100000.0,100000.0
2025-01-15,100000.0,100000.0,100000.0,100000.0,102228.44,100000.0,100000.0,100000.0,100000.0
2025-01-16,100000.0,100000.0,100000.0,100000.0,101502.0,100000.0,100000.0,100000.0,100000.0
2025-01-17,100000.0,100000.0,100000.0,100000.0,100499.96,100000.0,100000.0,100000.0,100000.0
2025-01-20,100000.0,100000.0,100000.0,100000.0,101794.76,100000.0,100000.0,100000.0,100000.0
2025-01-21,100000.0,100000.0,100000.0,100000.0,99498.96,100000.0,100000.0,100000.0,100000.0
2025-01-22,100000.0,100000.0,100000.0,100000.0,98816.2,100000.0,100000.0,100000.0,100000.0
2025-01-23,100000.0,100000.0,100000.0,100000.0,98439.72,100000.0,100000.0,100000.0,100000.0
2025-01-24,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-01-27,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-01-28,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-01-29,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-01-30,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-01-31,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-02-03,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-02-04,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-02-05,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-02-06,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-02-07,100000.0,100000.0,100000.0,100000.0,97711.1,100000.0,100000.0,100000.0,100000.0
2025-02-10,100000.0,100000.0,100000.0,100000.0,98529.94,100000.0,100000.0,100000.0,100000.0
2025-02-11,100000.0,100000.0,100000.0,100000.0,97868.5,100000.0,100000.0,100000.0,100000.0
2025-02-12,100000.0,100000.0,100000.0,100000.0,99681.48,100000.0,100000.0,100000.0,100000.0
2025-02-13,100000.0,100000.0,100000.0,100000.0,98845.06,100000.0,100000.0,100000.0,100000.0
2025-02-14,100000.0,100000.0,100000.0,100000.0,98414.5,100000.0,100000.0,100000.0,100000.0
2025-02-17,100000.0,100000.0,100000.0,100000.0,96383.12,100000.0,100000.0,100000.0,100000.0
2025-02-18,100000.0,100000.0,100000.0,100000.0,95467.14,100000.0,100000.0,100000.0,100000.0
2025-02-19,100000.0,100000.0,100000.0,100000.0,94507.19,100000.0,100000.0,100000.0,100000.0
2025-02-20,100000.0,100000.0,100000.0,100000.0,94507.19,100000.0,100000.0,100000.0,100000.0
2025-02-21,100000.0,100000.0,100000.0,100000.0,94507.19,100000.0,100000.0,100000.0,100000.0
2025-02-24,100000.0,100000.0,100000.0,100000.0,94507.19,100000.0,100000.0,100000.0,100000.0
2025-02-25,100000.0,100000.0,100000.0,100000.0,94507.19,100000.0,100000.0,100000.0,100000.0
2025-02-26,100000.0,100000.0,100000.0,100000.0,94507.19,100000.0,100000.0,100000.0,100000.0
2025-02-27,100000.0,100000.0,100000.0,100000.0,94507.19,100000.0,100000.0,100000.0,100000.0
2025-02-28,100000.0,100000.0,100000.0,100000.0,94507.19,100000.0,100000.0,100000.0,100000.0
2025-03-03,100000.0,100000.0,100000.0,100000.0,94507.19,100000.0,100000.0,100000.0,100000.0
2025-03-04,100000.0,100000.0,100000.0,100000.0,94507.19,100000.0,100000.0,100000.0,100000.0
2025-03-05,100000.0,100000.0,100000.0,100000.0,94599.48,100000.0,100000.0,100000.0,100000.0
2025-03-06,100000.0,100000.0,100000.0,100000.0,94469.74,100000.0,100000.0,100000.0,100000.0
2025-03-07,100000.0,100000.0,100000.0,100000.0,95029.52,100000.0,100000.0,100000.0,100000.0
2025-03-10,100000.0,100000.0,100000.0,100000.0,98088.42,100000.0,100000.0,100000.0,100000.0
2025-03-11,100000.0,100000.0,100000.0,100000.0,95861.26,100000.0,100000.0,100000.0,100000.0
2025-03-12,100000.0,100000.0,100000.0,100000.0,95755.96,100000.0,100000.0,100000.0,100000.0
2025-03-13,100000.0,100000.0,100000.0,100000.0,94449.98,100000.0,100000.0,100000.0,100000.0
2025-03-14,100000.0,100000.0,100000.0,100000.0,94177.76,100000.0,100000.0,100000.0,100000.0
2025-03-17,100000.0,100000.0,100000.0,100000.0,97364.32,100000.0,100000.0,100000.0,100000.0
2025-03-18,100000.0,100000.0,100000.0,100000.0,96300.92,100000.0,100000.0,100000.0,100000.0
2025-03-19,100000.0,100000.0,100000.0,100000.0,97132.92,100000.0,100000.0,100000.0,100000.0
2025-03-20,100000.0,100000.0,100000.0,100000.0,96171.7,100000.0,100000.0,100000.0,100000.0
2025-03-21,100000.0,100000.0,100000.0,100000.0,97229.9,100000.0,100000.0,100000.0,100000.0
2025-03-24,100000.0,100000.0,100000.0,100000.0,96608.76,100000.0,100000.0,100000.0,100000.0
2025-03-25,100000.0,100000.0,100000.0,100000.0,96478.5,100000.0,100000.0,100000.0,100000.0
2025-03-26,100000.0,100000.0,100000.0,100000.0,94162.94,100000.0,100000.0,100000.0,100000.0
2025-03-27,100000.0,100000.0,100000.0,100000.0,92643.76,100000.0,100000.0,100000.0,100000.0
2025-03-28,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
2025-03-31,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
